area,bedrooms,bathrooms,floor,total_floors,furnished,balcony,age_of_house,parking,near_school,near_metro,price
1798,2,2,8,21,2,3,10,2,0,1,3724251
1417,2,2,0,11,2,0,20,0,1,0,2876190
1888,3,1,4,23,1,3,34,1,0,0,3725570
2413,3,3,19,2,2,2,11,1,0,0,4787743
1359,5,3,7,8,2,0,25,0,0,0,2913796
1359,5,1,10,22,2,0,18,1,1,1,3084969
2447,1,1,11,8,0,2,6,2,1,1,4774897
1960,1,2,0,17,2,2,6,1,1,1,4002962
1218,5,1,19,15,1,0,25,1,1,0,2658117
1825,5,3,10,17,2,2,39,1,1,0,3896713
1221,4,1,4,23,1,1,4,2,1,1,2734435
1220,3,2,14,24,0,3,20,0,0,1,2507516
1645,1,2,4,13,2,3,13,2,1,0,3481323
400,3,2,11,19,1,3,3,0,1,0,1244927
465,3,2,4,5,2,1,22,0,1,0,1312139
1162,5,2,16,12,2,2,19,0,1,1,2691731
892,4,1,16,1,1,2,14,1,1,1,2163931
1688,2,1,11,23,0,0,28,1,1,0,3335069
955,4,1,14,5,1,2,7,0,1,0,2040744
652,4,1,14,8,0,0,18,0,0,1,1645560
2379,3,2,5,13,0,1,38,1,1,0,4447448
1364,4,3,11,8,2,3,27,2,1,0,3116168
1540,1,1,19,23,0,3,26,0,1,1,3155062
645,3,3,17,11,1,3,3,2,1,0,1682354
1173,1,1,13,1,2,2,14,1,0,0,2383562
1566,2,1,1,13,1,0,34,0,1,1,3163412
809,3,3,8,19,0,0,36,2,0,1,1992150
1725,2,2,4,24,2,1,0,2,1,1,3595514
1139,3,1,19,3,0,2,2,2,1,1,2438323
1324,5,1,0,24,2,1,23,1,1,1,2921697
1138,4,1,2,17,2,0,26,1,0,1,2376998
2611,5,3,5,5,2,0,39,2,1,0,5359820
1491,2,2,4,20,1,3,35,2,0,1,3033673
865,4,3,4,21,1,2,33,1,1,1,2088732
1993,3,3,0,8,0,0,28,2,1,0,4021569
767,4,2,16,14,2,3,23,2,1,0,1929847
1625,1,3,18,4,2,2,23,1,1,0,3399127
400,4,2,13,11,1,1,3,2,1,0,1144352
703,1,1,11,20,0,2,2,2,0,0,1546697
1618,4,2,9,15,0,2,33,2,0,1,3378152
1943,1,1,19,19,0,0,22,1,1,1,3746913
1602,2,3,17,7,2,0,22,2,1,0,3361671
1430,5,3,10,19,1,2,4,1,1,0,3051259
1319,3,1,1,19,2,0,30,1,0,0,2703840
612,4,3,17,11,2,0,5,0,1,1,1698266
1068,5,2,6,5,0,0,36,0,1,0,2195445
1223,3,1,14,5,1,3,9,2,1,0,2584913
2134,3,3,10,22,1,3,39,1,0,0,4224060
1706,1,1,17,8,1,2,6,0,0,0,3234016
442,2,2,11,10,2,0,38,2,1,0,999030
1694,2,2,5,6,2,3,37,0,1,1,3575911
1268,5,3,19,15,2,2,20,0,0,1,2900032
1093,2,2,12,16,0,0,19,1,1,1,2126683
1867,4,1,19,17,0,1,2,1,1,0,3921997
2118,2,2,15,8,2,0,21,0,1,1,4346511
2058,5,1,17,8,0,0,3,0,1,1,4141881
996,2,1,9,9,1,3,27,1,0,0,1996000
1314,4,2,7,2,0,2,11,2,0,1,2858255
1698,1,3,17,15,1,2,37,1,1,0,3407186
2085,5,2,0,18,0,3,35,0,1,1,4274367
1212,1,1,7,3,1,0,4,2,0,0,2338630
1388,1,1,5,17,2,1,12,0,0,1,2881821
836,1,2,4,4,0,0,22,2,1,0,1693523
782,3,3,14,4,0,0,29,0,0,1,1810261
1987,3,3,14,14,1,1,36,2,0,1,3987644
2313,1,1,1,9,2,3,24,2,0,1,4738451
1456,5,1,0,9,0,2,26,0,0,0,2990241
2102,4,3,10,23,1,3,13,2,1,0,4573738
1716,4,2,9,18,0,3,35,1,1,1,3626008
1112,2,1,17,10,2,0,38,0,1,0,2265082
1716,5,1,17,21,1,2,15,1,0,0,3606150
2422,3,3,16,4,2,2,21,0,0,1,4943446
1478,1,2,7,12,2,3,20,2,1,1,3160265
2438,2,3,14,8,0,1,20,2,1,0,4797831
400,4,2,7,2,2,3,7,2,1,0,1361538
1993,3,2,16,22,0,1,15,0,0,0,3781905
1552,3,2,11,13,2,2,30,1,1,1,3239411
1320,1,1,7,21,1,3,9,1,0,1,2615662
1555,4,3,13,16,2,0,31,0,1,1,3378003
400,5,3,3,2,0,3,33,0,1,1,1228546
1368,3,2,0,11,0,2,8,1,1,0,2729754
1714,1,1,0,10,1,0,16,1,0,0,3313025
2386,5,1,18,15,1,0,10,1,1,0,4796443
1189,4,3,15,17,0,1,31,1,1,0,2581514
1014,3,1,13,8,1,0,9,0,0,1,2154760
1198,5,1,15,18,0,0,21,0,0,1,2515941
2049,5,2,4,23,1,3,16,2,0,0,4129693
1697,5,1,8,9,2,2,3,1,1,0,3686699
1182,3,2,1,8,1,1,24,2,0,1,2494520
1807,3,3,17,14,0,3,20,0,1,1,3729351
1558,2,1,5,18,1,0,36,0,1,0,3164160
2081,4,3,8,22,0,0,37,2,1,1,4210819
1078,1,3,0,20,2,1,0,1,1,1,2477256
1303,5,1,8,20,0,2,24,1,1,0,2803096
1264,2,1,15,21,2,1,35,1,0,1,2673117
621,1,3,12,12,2,3,16,1,0,0,1527027
1677,2,1,8,19,2,1,23,2,0,1,3414407
1656,3,2,12,14,1,0,1,2,1,1,3491382
1503,5,2,8,17,2,3,39,0,0,1,3220750
1359,1,1,10,24,2,0,14,1,0,1,2767716
650,1,3,3,21,1,2,31,1,1,0,1436981
1247,1,1,1,3,1,0,38,1,1,1,2586452
1294,1,1,5,23,1,0,5,2,0,1,2482240
1018,1,3,13,7,1,1,0,1,0,1,2246884
1403,2,3,3,17,1,0,22,2,0,1,2951926
1742,5,2,5,12,1,3,38,1,1,1,3729681
2631,3,3,18,9,0,3,16,1,1,1,5314559
1604,3,2,5,15,0,2,33,0,0,0,3109710
1654,3,3,1,18,0,3,28,1,0,1,3396034
1455,3,1,17,21,0,1,8,1,0,1,2826076
400,2,2,12,13,0,2,12,0,0,1,986374
1484,4,2,8,21,1,3,5,2,1,1,3334658
1536,5,2,18,8,0,1,5,2,1,0,3167667
2977,1,1,12,14,2,3,19,1,1,0,5712579
1384,4,1,10,8,0,3,2,2,1,1,2939598
1680,3,1,0,14,0,0,16,1,0,1,3300921
1479,4,1,6,7,2,3,11,0,1,0,3086585
798,5,1,14,23,1,3,0,0,1,1,1904624
2185,1,2,0,12,0,1,16,1,0,0,4124680
1951,1,1,11,11,2,1,2,0,1,1,3877432
1974,5,2,6,22,2,0,25,0,0,0,4059210
954,5,1,14,22,1,3,14,1,0,0,2241955
2341,3,3,18,11,1,0,35,1,0,0,4680820
658,1,2,0,22,2,3,31,0,1,0,1507878
1852,4,3,16,13,1,2,31,2,1,0,3969889
2814,2,2,16,18,1,2,3,2,1,0,5405538
905,2,3,2,2,2,0,17,1,1,0,2115316
1160,5,1,11,21,0,0,18,1,1,1,2590151
